Week,Sleeping,Eating,Class,Homework,Hygiene,Exercise,Chores,Fun
21,594.7142857142857,117.14285714285714,0.0,0.0,99.42857142857143,19.571428571428573,124.85714285714286,484.2857142857143
22,600.1428571428571,111.85714285714286,0.0,0.0,100.28571428571429,13.428571428571429,86.14285714285714,528.1428571428571
23,572.2857142857143,123.14285714285714,0.0,0.0,107.28571428571429,26.571428571428573,79.28571428571429,531.4285714285714
24,605.5714285714286,117.42857142857143,0.0,0.0,102.42857142857143,22.142857142857142,90.28571428571429,502.14285714285717
25,605.2857142857143,107.57142857142857,0.0,0.0,90.42857142857143,38.42857142857143,67.85714285714286,530.4285714285714
26,582.1428571428571,107.71428571428571,0.0,0.0,113.14285714285714,29.285714285714285,146.42857142857142,461.2857142857143
27,585.7142857142857,120.0,0.0,0.0,93.85714285714286,28.142857142857142,89.14285714285714,523.1428571428571
28,595.4285714285714,114.14285714285714,0.0,0.0,91.28571428571429,31.428571428571427,105.28571428571429,502.42857142857144
29,602.0,114.0,0.0,0.0,111.57142857142857,35.714285714285715,82.85714285714286,493.85714285714283
30,614.8571428571429,107.0,0.0,0.0,102.0,28.857142857142858,82.57142857142857,504.7142857142857
31,607.7142857142857,114.28571428571429,0.0,0.0,126.71428571428571,23.571428571428573,96.85714285714286,470.85714285714283
32,593.7142857142857,112.42857142857143,0.0,0.0,89.0,29.0,71.14285714285714,544.7142857142857
33,592.5714285714286,103.42857142857143,0.0,0.0,113.14285714285714,28.285714285714285,58.714285714285715,543.8571428571429
34,506.2857142857143,111.85714285714286,117.14285714285714,211.14285714285714,100.85714285714286,17.571428571428573,100.14285714285714,275.0
35,506.57142857142856,105.71428571428571,117.14285714285714,203.57142857142858,76.71428571428571,20.428571428571427,106.0,303.85714285714283
36,488.85714285714283,109.85714285714286,117.14285714285714,231.57142857142858,89.85714285714286,25.714285714285715,86.0,291.0
37,502.2857142857143,109.0,117.14285714285714,222.57142857142858,90.28571428571429,21.142857142857142,92.85714285714286,284.7142857142857
38,527.4285714285714,102.57142857142857,117.14285714285714,212.85714285714286,96.85714285714286,21.142857142857142,88.42857142857143,273.57142857142856
39,508.42857142857144,105.57142857142857,117.14285714285714,191.28571428571428,102.85714285714286,17.0,79.85714285714286,317.85714285714283
40,509.0,111.71428571428571,117.14285714285714,201.71428571428572,94.42857142857143,24.571428571428573,94.28571428571429,287.14285714285717
41,513.8571428571429,105.28571428571429,117.14285714285714,237.57142857142858,97.42857142857143,27.428571428571427,95.85714285714286,245.42857142857142
42,500.14285714285717,105.28571428571429,117.14285714285714,224.42857142857142,95.14285714285714,15.857142857142858,94.28571428571429,287.7142857142857
43,512.5714285714286,110.28571428571429,117.14285714285714,226.85714285714286,98.0,18.0,85.85714285714286,271.2857142857143
44,495.42857142857144,103.57142857142857,117.14285714285714,196.57142857142858,95.42857142857143,28.714285714285715,105.0,298.14285714285717
45,515.0,117.57142857142857,117.14285714285714,233.71428571428572,101.42857142857143,16.0,102.0,237.14285714285714
46,597.0,114.57142857142857,0.0,0.0,97.14285714285714,24.428571428571427,79.85714285714286,527.0
47,503.42857142857144,99.0,117.14285714285714,202.42857142857142,82.85714285714286,19.857142857142858,101.0,314.2857142857143
48,499.42857142857144,109.14285714285714,117.14285714285714,203.42857142857142,103.85714285714286,19.0,86.42857142857143,301.57142857142856
49,518.5714285714286,112.57142857142857,117.14285714285714,207.42857142857142,94.14285714285714,17.571428571428573,90.14285714285714,282.42857142857144
50,611.5714285714286,118.14285714285714,0.0,0.0,121.28571428571429,37.42857142857143,75.57142857142857,476.0
51,601.4285714285714,117.71428571428571,0.0,0.0,102.28571428571429,32.0,78.57142857142857,508.0
